"Relatório de Disponibilidade - Unidades (REMEP-FLN, PoP-SC/RNP e PARCs)",,,,,,,,,,,,,
Relatório Mensal de Disponibilidade das Unidades Organizacionais,,,,,,,,,,,,,
Período de 01/09/2025 a 30/09/2025,,,,,,,,,,,,,
RESUMO EXECUTIVO,,,,,,,,,,,,,
,,,,,,,,,,,,,
Seq.,Organização,Unidade,Monitoramento,Iniciativas,Serviço,"Designador do 
Serviço","Mantenedor do 
Serviço",Valor acordado do SLA (%),,IDS (%),,IDSA (%),
,,,,,,,,Mensal,"Acumulado 
12 Meses",Mensal,"Acumulado 
12 Meses",Mensal,"Acumulado 
12 Meses"
58,IFSC,Caçador,Disponibilidade Unidade:  IFSC Caçador,"RCT,RNP",Conectividade via RNP e RCT,"8003,3724",ALT,99.6000,99.6000,100.0000,99.6050,100.0000,99.5996
59,IFSC,Chapecó,Disponibilidade: IFSC Chapecó,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,99.6000,99.8500,100.0000,99.9906,100.0000,99.9863
60,IFSC,Criciúma,Disponibilidade Unidade:  IFSC Criciúma,"RCT,RNP",Conectividade via RNP e RCT,"3517,8004",ALT,99.6000,99.6000,100.0000,99.9998,100.0000,99.9989
61,IFSC,Florianópolis,Disponibilidade IFSC Florianópolis,REMEP-FLN,Conectividade à REMEP,#7314,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9960
62,IFSC,Garopaba,Disponibilidade Unidade:  IFSC Garopaba,RNP,Conectividade via RNP,3725,ALT,99.6000,99.6000,100.0000,99.8696,100.0000,99.7974
63,IFSC,Gaspar,Disponibilidade: IFSC Gaspar,REMEP-BNU,Conectividade à REMEP BLUMENAU,-,REMEP-BNU,99.6000,99.8500,100.0000,99.9911,100.0000,99.9900
64,IFSC,Itajaí,Disponibilidade Unidade:  IFSC Itajaí,RNP,Conectividade via RNP,3519,ALT,99.6000,99.6000,100.0000,99.3399,100.0000,99.3388
65,IFSC,Jaraguá do Sul (RAU),Disponibilidade Unidade:  IFSC Jaraguá Do Sul - Rau,"RCT,RNP",Conectividade via RNP e RCT,"3626,8005",ALT,99.6000,99.6000,99.9838,99.9985,99.9838,99.8774
66,IFSC,Jaraguá do Sul - Sede,Disponibilidade Unidade:  IFSC Jaraguá Do Sul - Sede,"RCT,RNP",Conectividade via RNP e RCT,"3520,8006",ALT,99.6000,99.6000,100.0000,99.9983,100.0000,99.3605
67,IFSC,Joinville,Disponibilidade Unidade:  IFSC Joinville,RNP,Conectividade via RNP,3521,ALT,99.6000,99.6000,100.0000,99.8846,100.0000,99.8764
68,IFSC,Lages,Disponibilidade Unidade:  IFSC Lages,"RCT,RNP",Conectividade via RNP e RCT,"3522,8007",ALT,99.6000,99.6000,100.0000,99.9941,99.6713,99.5237
69,IFSC,Palhoça,Disponibilidade IFSC Palhoça,REMEP-FLN,Conectividade à REMEP,#7316,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.8166
70,IFSC,Reitoria,Disponibilidade IFSC Reitoria,REMEP-FLN,Conectividade à REMEP,#7334,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9989
71,IFSC,São Carlos,Disponibilidade Unidade:  IFSC São Carlos,RNP,Conectividade via RNP,3929,ALT,99.6000,99.6000,99.9491,99.6699,99.9491,99.5169
72,IFSC,São José,Disponibilidade IFSC São José,REMEP-FLN,Conectividade à REMEP,#7313,REMEP-FLN,99.6000,99.8500,100.0000,99.9941,100.0000,99.9941
73,IFSC,São Lourenço,Disponibilidade Unidade:  IFSC São Lourenço,RNP,Conectividade via RNP,3653,ALT,99.6000,99.6000,100.0000,99.9158,100.0000,99.9144
74,IFSC,São Miguel do Oeste,Disponibilidade Unidade:  IFSC São Miguel do Oeste,"RCT,RNP",Conectividade via RNP e RCT,"3823,8009",ALT,99.6000,99.6000,100.0000,99.9998,100.0000,99.8927
75,IFSC,Tubarão,Disponibilidade Unidade:  IFSC Tubarão,RNP,Conectividade via RNP,3641,ALT,99.6000,99.6000,100.0000,99.9153,100.0000,99.8759
76,IFSC,Urupema,Disponibilidade Unidade:  IFSC Urupema,RNP,Conectividade via RNP,3727,ALT,99.6000,99.6000,100.0000,99.9287,100.0000,99.4379
77,IFSC,Xanxerê,Disponibilidade Unidade: IFSC Xanxerê,"RCT,RNP",Conectividade via RNP e RCT,"3928,8012",ALT,99.6000,99.6000,100.0000,100.0000,100.0000,99.9327
78,IMETRO,Sede,Disponibilidade IMETRO,REMEP-FLN,Conectividade à REMEP,#7324,REMEP-FLN,99.6000,99.8500,100.0000,99.8525,100.0000,99.8170
79,PMB,SEMED,Disponibilidade: Prefeitura Municipal de Blumenau,REMEP-BNU,Conectividade à REMEP BLUMENAU,-,REMEP-BNU,99.6000,99.8500,100.0000,99.9641,100.0000,99.9630
80,SME,Núcleo de Tecnologia da Educação - Polo UAB Florianópolis,Disponibilidade SME NTE,REMEP-FLN,Conectividade à REMEP,#7337,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9956
81,UDESC,Academia,Disponibilidade UDESC Academia,REMEP-FLN,Conectividade à REMEP,-,REMEP-FLN,99.2000,99.6000,100.0000,100.0000,100.0000,100.0000
82,UDESC,Centro de Ciências da Saúde e do Esporte,Disponibilidade UDESC CEFID,REMEP-FLN,Conectividade à REMEP,#7317,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9578
83,UDESC,Instituto de Documentação e Investigação em Ciências Humanas,Disponibilidade UDESC IDCH,REMEP-FLN,Conectividade à REMEP,#7318,REMEP-FLN,99.6000,99.8500,100.0000,99.9910,100.0000,99.7820
84,UDESC,Museu da Escola Catarinense,Disponibilidade UDESC Museu,REMEP-FLN,Conectividade à REMEP,#7319,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,99.8912,99.9493
85,UDESC,Reitoria,Disponibilidade UDESC Reitoria,REMEP-FLN,Conectividade à REMEP,#7333,REMEP-FLN,99.6000,99.8500,100.0000,99.9641,100.0000,99.9630
86,UDESC,Site Backup,Disponibilidade UDESC Site Backup,REMEP-FLN,Conectividade à REMEP,#7336,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,100.0000,99.9991
87,UDESC,Transmissor da Radio UDESC FM,Disponibilidade UDESC Radio,REMEP-FLN,Conectividade à REMEP,#7366,REMEP-FLN,99.6000,99.8500,100.0000,100.0000,99.8611,99.0655
88,UDESC,UDESC Enfermagem,Disponibilidade: UDESC Enfermagem,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,99.6000,99.8500,99.9954,99.6332,99.9954,99.6176
89,UDESC,UDESC Zootecnica,Disponibilidade: UDESC Zootecnia,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,99.6000,99.8500,99.9954,99.9718,99.5023,99.8239
90,UFFS,UFFS Ambulatório Chapecó,Disponibilidade: UFFS Ambulatório Chapecó,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,99.2000,99.5000,99.9861,99.9518,99.9861,99.7086
91,UFFS,UFFS Chapecó,Disponibilidade: UFFS SEDE Chapecó,REMEP-CCO,Conectividade à REMEP CHAPECÓ,-,REMEP-CCO,99.2000,99.5000,100.0000,99.9907,100.0000,99.9898
92,UFSC,Araranguá - Jardim das Avenidas,Disponibilidade Unidade:  UFSC Araranguá - Jardim Das Avenidas,RCT,Conectividade via RCT,8026,ALGAR-RCT,99.6000,99.8500,100.0000,99.9729,100.0000,99.9476
93,UFSC,Araranguá - Mato Alto,Disponibilidade Unidade:  UFSC Araranguá - Mato Alto,RNP,Conectividade via RNP,3651,ALT,99.6000,99.6000,100.0000,100.0000,100.0000,99.9873
